"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D3";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N5817";;;
2;"C9,C8,C4,C3,C5,C6";"C_Disc_D5.0mm_W2.5mm_P5.00mm";6;"100nF";;;
3;"K1";"Relay_SPDT_Omron_G5V-1";1;"G5V-1-12VDC";;;
4;"J5,J6";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";2;"Conn_01x02";;;
5;"R9,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"4.7k";;;
6;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
7;"J2-DHT22,J1-SOIL1";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03";;;
8;"C10,C7";"CP_Radial_D10.0mm_P5.00mm";2;"1000uF";;;
9;"C11";"CP_Radial_D6.3mm_P2.50mm";1;"100uF";;;
10;"D2";"LED_D5.0mm";1;"LED";;;
11;"R1,R3,R5,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"10k";;;
12;"Q1";"TO-92_Inline";1;"BC547";;;
13;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
14;"J4-SIM80L1,J3-LCD1";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04";;;
15;"C1,C2";"CP_Radial_D5.0mm_P2.50mm";2;"10uF";;;
16;"SW2";"SW_PUSH_6mm_H5mm";1;"BOOT";;;
17;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"4.7K";;;
18;"SW1";"SW_PUSH_6mm_H5mm";1;"RESET";;;
19;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1k";;;
20;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4007";;;
21;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"220";;;
